id,label
1,0.98650056
2,0.9995915
3,0.9604648
4,0.9948377
5,0.07894038
6,0.05084612
7,0.0003751284
8,0.024786402
9,0.035755955
10,0.09213701
11,0.10445516
12,0.99484926
13,0.015584722
14,0.42471418
15,0.04639585
16,0.024970707
17,0.9227648
18,0.9986376
19,0.2169971
20,0.13933136
21,0.9891567
22,0.08370586
23,0.99907
24,0.9867382
25,0.40133032
26,0.9760793
27,0.9896812
28,0.0034721189
29,0.9592803
30,0.97571677
31,0.9992718
32,0.13895682
33,0.92553276
34,0.0088556465
35,0.05773626
36,0.027842125
37,0.006317025
38,0.00086511584
39,0.9723413
40,0.052848235
41,0.9401566
42,0.99953926
43,0.99823713
44,0.95240414
45,0.028698768
46,0.7871368
47,0.0019332856
48,0.9566351
49,0.9980692
50,0.03008674
51,0.04674389
52,0.0025260733
53,0.24921486
54,0.021466028
55,0.3672509
56,0.3824255
57,0.99967253
58,0.00952424
59,0.9873855
60,0.099198826
61,0.299934
62,0.62200516
63,0.23752506
64,0.9835535
65,0.99865353
66,0.9528341
67,0.9746971
68,0.00055745646
69,0.99493474
70,0.9967495
71,0.42143372
72,0.99012345
73,0.9992976
74,0.99646014
75,0.7284776
76,0.8840833
77,0.9906695
78,0.88578725
79,0.807963
80,0.009473074
81,0.42851007
82,0.14530225
83,0.99975425
84,0.018628169
85,0.9898599
86,0.9193142
87,0.8527579
88,0.9878207
89,0.008540998
90,0.47024673
91,0.06700656
92,0.007597067
93,0.0042371526
94,0.9999372
95,0.9965216
96,0.031224431
97,0.9817089
98,0.99730575
99,0.0051637175
100,0.4320548
101,0.043015666
102,0.99427503
103,0.021476734
104,0.032560892
105,0.9731126
106,0.9194404
107,0.025616182
108,0.020017356
109,0.54806334
110,0.9956611
111,0.43169433
112,0.932552
113,0.80921143
114,0.09615815
115,0.27894104
116,0.03733796
117,0.025527159
118,0.6777659
119,0.946401
120,0.24843757
121,0.795314
122,0.005904835
123,0.18699221
124,0.006928703
125,0.45895445
126,0.1451659
127,0.96364015
128,0.0013672223
129,0.015193772
130,0.2098553
131,0.99765164
132,0.9461925
133,0.5443898
134,0.22218244
135,0.0065316516
136,0.04932576
137,0.99815696
138,0.32929933
139,0.71483505
140,0.17596751
141,0.00051071384
142,0.2527461
143,0.92503685
144,0.6558127
145,0.09402034
146,0.9982248
147,0.96538806
148,0.2614404
149,0.00999209
150,0.1778738
151,0.95280635
152,0.12949876
153,0.0045941253
154,0.061770733
155,0.85141325
156,0.12930067
157,0.04171776
158,0.99963593
159,0.9995041
160,0.53453153
161,0.018750979
162,0.03176228
163,0.0015272232
164,0.69803023
165,0.53560245
166,0.15119544
167,0.803481
168,0.0028509926
169,0.0119378865
